id,brand,name,category,image,price,rating,skin_type,acne,pigmentation,oiliness,dryness,dark_circles,ingredients,description
178,Minimalist,Alpha Arbutin,Cream,alpha_arbutin.jpg,1307,4.4,All,1,0,1,0,1,Hyaluronic Acid,Recommended by GlowSense AI
179,Neutrogena,Oil Free Acne Wash,Sunscreen,oil_free_acne_wash.jpg,716,4.8,Oily,1,1,0,1,1,Vitamin C,Recommended by GlowSense AI
180,Dot & Key,Barrier Repair Cream,Moisturizer,barrier_repair_cream.jpg,2740,4.8,All,0,1,0,1,1,Niacinamide,Recommended by GlowSense AI
181,Neutrogena,Ultra Sheer SPF50,Sunscreen,ultra_sheer_spf50.jpg,1151,4.9,All,0,1,0,1,0,Ceramides,Recommended by GlowSense AI
182,La Roche-Posay,Effaclar Cleanser,Treatment,effaclar_cleanser.jpg,611,4.3,All,1,0,0,1,0,Niacinamide,Recommended by GlowSense AI
183,La Roche-Posay,Toleriane Cleanser,Cream,toleriane_cleanser.jpg,2034,4.9,Oily,1,1,1,1,0,Vitamin C,Recommended by GlowSense AI
184,Cetaphil,Moisturizing Cream,Cream,moisturizing_cream.jpg,1536,4.8,All,0,1,1,0,0,Niacinamide,Recommended by GlowSense AI
185,COSRX,BHA Blackhead Power,Serum,bha_blackhead_power.jpg,1033,4.3,Combination,0,0,0,0,1,Snail Mucin,Recommended by GlowSense AI
186,The Ordinary,Azelaic Acid,Serum,azelaic_acid.jpg,1632,4.5,Sensitive,0,0,1,1,1,Hyaluronic Acid,Recommended by GlowSense AI
187,COSRX,AHA Whitehead Power,Cleanser,aha_whitehead_power.jpg,2032,4.5,Sensitive,1,1,0,0,1,Niacinamide,Recommended by GlowSense AI
188,Neutrogena,Ultra Sheer SPF50,Serum,ultra_sheer_spf50.jpg,1322,4.5,Combination,0,0,1,1,1,Vitamin C,Recommended by GlowSense AI
189,Dot & Key,Cica Gel,Serum,cica_gel.jpg,1384,4.4,Combination,1,1,1,1,1,Vitamin C,Recommended by GlowSense AI
190,Cetaphil,Gentle Skin Cleanser,Moisturizer,gentle_skin_cleanser.jpg,1142,4.3,Dry,1,1,1,0,0,Niacinamide,Recommended by GlowSense AI
191,CeraVe,PM Moisturizer,Moisturizer,pm_moisturizer.jpg,2841,5.0,Oily,0,1,0,0,0,Centella,Recommended by GlowSense AI
192,La Roche-Posay,Anthelios SPF50,Cleanser,anthelios_spf50.jpg,2638,4.6,Sensitive,1,1,0,1,1,Hyaluronic Acid,Recommended by GlowSense AI
193,The Ordinary,Azelaic Acid,Treatment,azelaic_acid.jpg,2229,4.6,Combination,1,1,0,0,1,Ceramides,Recommended by GlowSense AI
194,Minimalist,Vitamin C Serum,Cleanser,vitamin_c_serum.jpg,1743,4.3,Sensitive,1,1,1,1,0,Vitamin C,Recommended by GlowSense AI
195,Cetaphil,Bright Healthy Radiance,Cleanser,bright_healthy_radiance.jpg,2251,4.7,All,1,1,1,1,0,Snail Mucin,Recommended by GlowSense AI
196,The Ordinary,Niacinamide 10%,Cream,niacinamide_10.jpg,2482,4.6,Dry,1,0,0,1,1,Snail Mucin,Recommended by GlowSense AI
197,CeraVe,SA Cleanser,Cream,sa_cleanser.jpg,713,4.0,Sensitive,0,1,1,1,0,Niacinamide,Recommended by GlowSense AI
198,COSRX,BHA Blackhead Power,Treatment,bha_blackhead_power.jpg,660,4.9,All,1,0,1,1,0,Centella,Recommended by GlowSense AI
199,Minimalist,Retinol,Moisturizer,retinol.jpg,2817,4.8,Dry,0,0,1,1,0,Snail Mucin,Recommended by GlowSense AI
200,Cetaphil,Gentle Skin Cleanser,Cream,gentle_skin_cleanser.jpg,2833,4.9,Dry,0,0,0,1,1,Ceramides,Recommended by GlowSense AI
201,Cetaphil,Moisturizing Lotion,Moisturizer,moisturizing_lotion.jpg,1173,4.0,Dry,0,1,0,1,0,Centella,Recommended by GlowSense AI
202,CeraVe,Hydrating Cleanser,Treatment,hydrating_cleanser.jpg,1578,4.9,Combination,1,1,1,0,0,Vitamin C,Recommended by GlowSense AI
203,Cetaphil,Gentle Skin Cleanser,Treatment,gentle_skin_cleanser.jpg,2223,4.6,Combination,1,0,1,0,1,Hyaluronic Acid,Recommended by GlowSense AI
204,Cetaphil,Moisturizing Lotion,Moisturizer,moisturizing_lotion.jpg,1471,4.4,Dry,1,1,0,0,0,Centella,Recommended by GlowSense AI
205,The Ordinary,Niacinamide 10%,Cleanser,niacinamide_10.jpg,2716,4.7,Dry,0,1,0,1,1,Salicylic Acid,Recommended by GlowSense AI
206,Dot & Key,Barrier Repair Cream,Treatment,barrier_repair_cream.jpg,709,4.8,Sensitive,1,1,1,0,1,Salicylic Acid,Recommended by GlowSense AI
207,Dot & Key,Watermelon Sunscreen,Sunscreen,watermelon_sunscreen.jpg,837,4.0,Combination,0,1,1,1,1,Ceramides,Recommended by GlowSense AI
208,COSRX,Low pH Cleanser,Moisturizer,low_ph_cleanser.jpg,630,4.7,Dry,0,1,0,1,0,Salicylic Acid,Recommended by GlowSense AI
209,La Roche-Posay,Toleriane Cleanser,Sunscreen,toleriane_cleanser.jpg,2918,4.5,Dry,0,1,0,1,0,Snail Mucin,Recommended by GlowSense AI
210,COSRX,AHA Whitehead Power,Sunscreen,aha_whitehead_power.jpg,524,4.7,Sensitive,0,0,0,1,0,Snail Mucin,Recommended by GlowSense AI
211,CeraVe,AM Moisturizer,Sunscreen,am_moisturizer.jpg,1983,4.2,Combination,1,1,0,1,0,Centella,Recommended by GlowSense AI
212,Cetaphil,Bright Healthy Radiance,Cream,bright_healthy_radiance.jpg,2266,4.8,All,1,1,1,1,0,Ceramides,Recommended by GlowSense AI
213,Cetaphil,Moisturizing Cream,Cleanser,moisturizing_cream.jpg,948,4.9,Oily,0,1,1,1,1,Salicylic Acid,Recommended by GlowSense AI
214,Neutrogena,Ultra Sheer SPF50,Cleanser,ultra_sheer_spf50.jpg,1678,4.0,All,1,1,1,0,0,Retinol,Recommended by GlowSense AI
215,Minimalist,Niacinamide 10%,Cleanser,niacinamide_10.jpg,2149,4.3,All,1,0,0,1,1,Snail Mucin,Recommended by GlowSense AI
216,CeraVe,Hydrating Cleanser,Serum,hydrating_cleanser.jpg,833,4.1,Sensitive,0,0,0,1,1,Hyaluronic Acid,Recommended by GlowSense AI
217,The Ordinary,Azelaic Acid,Cleanser,azelaic_acid.jpg,1692,4.2,Oily,0,1,1,0,1,Ceramides,Recommended by GlowSense AI
218,Cetaphil,Bright Healthy Radiance,Sunscreen,bright_healthy_radiance.jpg,1269,4.5,Dry,1,0,0,0,1,Hyaluronic Acid,Recommended by GlowSense AI
219,CeraVe,Moisturizing Cream,Cream,moisturizing_cream.jpg,2776,4.5,Oily,0,0,0,1,0,Retinol,Recommended by GlowSense AI
220,Dot & Key,Watermelon Sunscreen,Serum,watermelon_sunscreen.jpg,1054,4.3,Dry,0,1,0,0,1,Ceramides,Recommended by GlowSense AI
221,CeraVe,PM Moisturizer,Cleanser,pm_moisturizer.jpg,1927,4.7,All,0,0,1,1,1,Centella,Recommended by GlowSense AI
222,La Roche-Posay,Effaclar Duo,Cleanser,effaclar_duo.jpg,1901,4.7,Dry,0,0,0,1,0,Ceramides,Recommended by GlowSense AI
223,Dot & Key,Cica Gel,Serum,cica_gel.jpg,1747,4.8,Dry,1,0,0,0,1,Vitamin C,Recommended by GlowSense AI
224,Dot & Key,Watermelon Sunscreen,Treatment,watermelon_sunscreen.jpg,1877,4.6,Combination,1,1,1,1,0,Snail Mucin,Recommended by GlowSense AI
225,Cetaphil,Gentle Skin Cleanser,Cleanser,gentle_skin_cleanser.jpg,1600,4.4,Sensitive,0,1,0,1,0,Hyaluronic Acid,Recommended by GlowSense AI
226,COSRX,BHA Blackhead Power,Sunscreen,bha_blackhead_power.jpg,2477,4.8,Oily,0,0,1,1,0,Vitamin C,Recommended by GlowSense AI
227,Cetaphil,Moisturizing Lotion,Sunscreen,moisturizing_lotion.jpg,826,4.3,Dry,0,1,0,0,1,Hyaluronic Acid,Recommended by GlowSense AI
228,The Ordinary,Buffet Serum,Cleanser,buffet_serum.jpg,634,4.7,Combination,1,0,0,1,1,Centella,Recommended by GlowSense AI
229,The Ordinary,Azelaic Acid,Cleanser,azelaic_acid.jpg,671,4.3,Combination,1,1,0,0,1,Niacinamide,Recommended by GlowSense AI
230,COSRX,AHA Whitehead Power,Cleanser,aha_whitehead_power.jpg,1847,4.8,All,1,1,0,1,0,Hyaluronic Acid,Recommended by GlowSense AI
231,La Roche-Posay,Toleriane Cleanser,Sunscreen,toleriane_cleanser.jpg,519,4.6,All,0,0,1,1,0,Ceramides,Recommended by GlowSense AI
232,The Ordinary,Buffet Serum,Moisturizer,buffet_serum.jpg,365,4.6,Sensitive,0,1,1,0,1,Vitamin C,Recommended by GlowSense AI
233,COSRX,Snail Mucin,Sunscreen,snail_mucin.jpg,2980,4.8,Sensitive,1,0,1,1,1,Salicylic Acid,Recommended by GlowSense AI
234,La Roche-Posay,Toleriane Cleanser,Sunscreen,toleriane_cleanser.jpg,1419,4.7,Sensitive,1,0,0,0,0,Salicylic Acid,Recommended by GlowSense AI
235,COSRX,Snail Mucin,Cleanser,snail_mucin.jpg,1001,4.8,Oily,0,0,1,0,0,Ceramides,Recommended by GlowSense AI
236,COSRX,BHA Blackhead Power,Serum,bha_blackhead_power.jpg,1812,4.3,Combination,0,1,0,0,1,Retinol,Recommended by GlowSense AI
237,The Ordinary,Vitamin C,Treatment,vitamin_c.jpg,1217,4.1,All,1,0,0,1,0,Vitamin C,Recommended by GlowSense AI
238,COSRX,Low pH Cleanser,Treatment,low_ph_cleanser.jpg,570,4.2,Sensitive,1,0,1,1,0,Snail Mucin,Recommended by GlowSense AI
239,Neutrogena,Ultra Sheer SPF50,Treatment,ultra_sheer_spf50.jpg,2113,4.4,Dry,0,0,0,1,0,Salicylic Acid,Recommended by GlowSense AI
240,COSRX,BHA Blackhead Power,Treatment,bha_blackhead_power.jpg,753,4.6,Oily,1,0,1,0,0,Centella,Recommended by GlowSense AI
241,Minimalist,Vitamin C Serum,Moisturizer,vitamin_c_serum.jpg,2054,4.3,Sensitive,1,1,0,0,0,Retinol,Recommended by GlowSense AI
242,CeraVe,SA Cleanser,Serum,sa_cleanser.jpg,925,4.4,Dry,1,0,1,1,1,Hyaluronic Acid,Recommended by GlowSense AI
243,The Ordinary,Vitamin C,Moisturizer,vitamin_c.jpg,634,4.1,All,1,1,0,1,1,Salicylic Acid,Recommended by GlowSense AI
244,Dot & Key,Barrier Repair Cream,Serum,barrier_repair_cream.jpg,596,4.5,Dry,1,1,0,1,0,Salicylic Acid,Recommended by GlowSense AI
245,Dot & Key,Vitamin C Serum,Cream,vitamin_c_serum.jpg,978,5.0,Sensitive,1,1,1,1,0,Vitamin C,Recommended by GlowSense AI
246,Dot & Key,Vitamin C Serum,Moisturizer,vitamin_c_serum.jpg,971,4.9,Dry,0,1,0,0,0,Niacinamide,Recommended by GlowSense AI
247,CeraVe,AM Moisturizer,Serum,am_moisturizer.jpg,1329,4.9,Dry,0,1,1,1,0,Salicylic Acid,Recommended by GlowSense AI
248,Neutrogena,Hydro Boost,Treatment,hydro_boost.jpg,1932,4.5,Sensitive,0,0,1,1,1,Snail Mucin,Recommended by GlowSense AI
249,CeraVe,Foaming Cleanser,Cleanser,foaming_cleanser.jpg,534,4.9,Dry,0,1,1,1,0,Hyaluronic Acid,Recommended by GlowSense AI
250,Neutrogena,Oil Free Acne Wash,Cream,oil_free_acne_wash.jpg,1307,4.4,Dry,0,1,1,0,0,Vitamin C,Recommended by GlowSense AI
251,CeraVe,PM Moisturizer,Cleanser,pm_moisturizer.jpg,595,4.9,All,0,0,0,0,0,Centella,Recommended by GlowSense AI
252,Minimalist,Salicylic Acid,Serum,salicylic_acid.jpg,1058,4.2,Oily,1,0,0,1,0,Hyaluronic Acid,Recommended by GlowSense AI
253,Dot & Key,Vitamin C Serum,Sunscreen,vitamin_c_serum.jpg,1577,4.6,Sensitive,0,0,1,1,0,Centella,Recommended by GlowSense AI
254,COSRX,BHA Blackhead Power,Serum,bha_blackhead_power.jpg,2991,4.1,All,0,1,0,0,1,Snail Mucin,Recommended by GlowSense AI
255,La Roche-Posay,Toleriane Cleanser,Moisturizer,toleriane_cleanser.jpg,2585,4.7,All,0,1,1,1,1,Ceramides,Recommended by GlowSense AI
256,The Ordinary,Retinol,Moisturizer,retinol.jpg,546,4.5,All,0,0,1,1,1,Ceramides,Recommended by GlowSense AI
257,Minimalist,Tranexamic Acid,Sunscreen,tranexamic_acid.jpg,1526,4.8,Dry,1,1,1,0,1,Hyaluronic Acid,Recommended by GlowSense AI
258,La Roche-Posay,Toleriane Cleanser,Treatment,toleriane_cleanser.jpg,358,4.4,Oily,1,1,1,1,1,Retinol,Recommended by GlowSense AI
259,Minimalist,Niacinamide 10%,Cream,niacinamide_10.jpg,1919,4.4,Sensitive,1,0,1,1,0,Vitamin C,Recommended by GlowSense AI
260,CeraVe,AM Moisturizer,Serum,am_moisturizer.jpg,1379,4.6,Dry,1,0,0,0,1,Ceramides,Recommended by GlowSense AI
261,Minimalist,Vitamin C Serum,Moisturizer,vitamin_c_serum.jpg,2940,4.5,Sensitive,0,1,1,1,0,Retinol,Recommended by GlowSense AI
262,La Roche-Posay,Toleriane Cleanser,Cleanser,toleriane_cleanser.jpg,1035,4.6,Sensitive,0,0,1,1,0,Vitamin C,Recommended by GlowSense AI
263,Neutrogena,Oil Free Acne Wash,Serum,oil_free_acne_wash.jpg,1251,4.8,Combination,1,0,1,1,1,Retinol,Recommended by GlowSense AI
264,Neutrogena,Hydro Boost,Treatment,hydro_boost.jpg,519,4.3,Oily,0,1,0,1,1,Niacinamide,Recommended by GlowSense AI
265,Neutrogena,Hydro Boost,Sunscreen,hydro_boost.jpg,2522,4.8,Oily,1,0,1,1,0,Snail Mucin,Recommended by GlowSense AI
266,COSRX,Snail Mucin,Moisturizer,snail_mucin.jpg,2505,4.1,Sensitive,0,1,1,0,1,Retinol,Recommended by GlowSense AI
267,Minimalist,Niacinamide 10%,Serum,niacinamide_10.jpg,2127,4.5,Combination,1,0,1,1,1,Salicylic Acid,Recommended by GlowSense AI
268,COSRX,Snail Mucin,Cream,snail_mucin.jpg,875,4.9,All,1,1,0,1,1,Snail Mucin,Recommended by GlowSense AI
269,The Ordinary,Vitamin C,Serum,vitamin_c.jpg,2645,5.0,Combination,0,1,0,1,0,Ceramides,Recommended by GlowSense AI
270,COSRX,Low pH Cleanser,Cleanser,low_ph_cleanser.jpg,1510,4.6,Sensitive,1,1,0,1,1,Snail Mucin,Recommended by GlowSense AI
271,CeraVe,SA Cleanser,Cream,sa_cleanser.jpg,308,4.3,Combination,0,1,0,1,0,Salicylic Acid,Recommended by GlowSense AI
272,Minimalist,Alpha Arbutin,Sunscreen,alpha_arbutin.jpg,834,4.2,All,1,0,0,0,1,Vitamin C,Recommended by GlowSense AI
273,Dot & Key,Cica Gel,Moisturizer,cica_gel.jpg,795,4.4,All,0,1,1,1,0,Salicylic Acid,Recommended by GlowSense AI
274,Neutrogena,Oil Free Acne Wash,Moisturizer,oil_free_acne_wash.jpg,1599,4.1,Sensitive,0,1,0,1,0,Centella,Recommended by GlowSense AI
275,CeraVe,AM Moisturizer,Cleanser,am_moisturizer.jpg,1876,4.7,Dry,1,1,0,1,1,Retinol,Recommended by GlowSense AI
276,The Ordinary,Vitamin C,Cleanser,vitamin_c.jpg,1151,4.7,Oily,1,0,0,0,0,Niacinamide,Recommended by GlowSense AI
277,Dot & Key,Vitamin C Serum,Moisturizer,vitamin_c_serum.jpg,2640,4.7,All,0,1,1,1,1,Retinol,Recommended by GlowSense AI
278,Minimalist,Vitamin C Serum,Cream,vitamin_c_serum.jpg,412,4.8,All,1,1,1,0,1,Snail Mucin,Recommended by GlowSense AI
279,CeraVe,Hydrating Cleanser,Cream,hydrating_cleanser.jpg,1115,4.3,Combination,1,1,0,0,1,Retinol,Recommended by GlowSense AI
280,The Ordinary,Vitamin C,Serum,vitamin_c.jpg,1549,4.1,Combination,0,0,1,0,1,Centella,Recommended by GlowSense AI
281,La Roche-Posay,Effaclar Duo,Cleanser,effaclar_duo.jpg,736,4.5,Dry,0,0,0,0,1,Vitamin C,Recommended by GlowSense AI
282,Neutrogena,Ultra Sheer SPF50,Treatment,ultra_sheer_spf50.jpg,2677,5.0,All,0,0,0,1,0,Hyaluronic Acid,Recommended by GlowSense AI
283,Neutrogena,Ultra Sheer SPF50,Serum,ultra_sheer_spf50.jpg,2933,4.9,Combination,1,1,1,1,1,Salicylic Acid,Recommended by GlowSense AI
284,The Ordinary,Niacinamide 10%,Cleanser,niacinamide_10.jpg,1918,4.9,Combination,1,1,1,0,0,Salicylic Acid,Recommended by GlowSense AI
285,The Ordinary,Retinol,Moisturizer,retinol.jpg,1103,4.6,Combination,1,1,1,0,0,Centella,Recommended by GlowSense AI
286,The Ordinary,Azelaic Acid,Treatment,azelaic_acid.jpg,451,4.6,Oily,1,0,1,0,0,Niacinamide,Recommended by GlowSense AI
287,The Ordinary,Buffet Serum,Moisturizer,buffet_serum.jpg,2632,4.8,Oily,1,1,0,1,1,Ceramides,Recommended by GlowSense AI
288,Dot & Key,Barrier Repair Cream,Treatment,barrier_repair_cream.jpg,1372,4.7,Dry,1,1,0,1,0,Ceramides,Recommended by GlowSense AI
289,Minimalist,Alpha Arbutin,Cleanser,alpha_arbutin.jpg,923,4.7,Oily,0,0,0,0,0,Hyaluronic Acid,Recommended by GlowSense AI
290,Neutrogena,Hydro Boost,Moisturizer,hydro_boost.jpg,376,4.7,Combination,1,1,0,1,1,Salicylic Acid,Recommended by GlowSense AI
291,Minimalist,Niacinamide 10%,Sunscreen,niacinamide_10.jpg,908,4.7,All,0,0,1,0,0,Ceramides,Recommended by GlowSense AI
292,CeraVe,SA Cleanser,Moisturizer,sa_cleanser.jpg,560,4.8,All,0,1,0,1,0,Niacinamide,Recommended by GlowSense AI
293,The Ordinary,Vitamin C,Treatment,vitamin_c.jpg,364,4.2,Sensitive,0,1,0,1,0,Snail Mucin,Recommended by GlowSense AI
294,The Ordinary,Retinol,Sunscreen,retinol.jpg,1068,4.9,Sensitive,1,1,0,0,0,Salicylic Acid,Recommended by GlowSense AI
295,Neutrogena,Oil Free Acne Wash,Treatment,oil_free_acne_wash.jpg,2359,4.6,Dry,0,1,0,0,1,Salicylic Acid,Recommended by GlowSense AI
296,CeraVe,AM Moisturizer,Cream,am_moisturizer.jpg,1614,4.8,Sensitive,1,1,0,1,0,Vitamin C,Recommended by GlowSense AI
297,Neutrogena,Hydro Boost,Sunscreen,hydro_boost.jpg,2490,4.1,Dry,0,1,0,0,1,Salicylic Acid,Recommended by GlowSense AI
298,Neutrogena,Ultra Sheer SPF50,Moisturizer,ultra_sheer_spf50.jpg,672,4.9,Sensitive,0,1,0,0,0,Ceramides,Recommended by GlowSense AI
299,Dot & Key,Watermelon Sunscreen,Moisturizer,watermelon_sunscreen.jpg,1102,4.3,Sensitive,1,1,1,0,1,Centella,Recommended by GlowSense AI
300,CeraVe,Hydrating Cleanser,Treatment,hydrating_cleanser.jpg,552,4.6,Dry,0,0,1,0,1,Retinol,Recommended by GlowSense AI
301,CeraVe,Hydrating Cleanser,Moisturizer,hydrating_cleanser.jpg,2222,4.7,Combination,1,0,0,0,1,Snail Mucin,Recommended by GlowSense AI
302,Dot & Key,Watermelon Sunscreen,Cleanser,watermelon_sunscreen.jpg,2925,4.9,Combination,1,1,1,1,0,Salicylic Acid,Recommended by GlowSense AI
303,COSRX,Low pH Cleanser,Serum,low_ph_cleanser.jpg,1808,4.2,Dry,0,0,0,0,0,Salicylic Acid,Recommended by GlowSense AI
304,Minimalist,Vitamin C Serum,Moisturizer,vitamin_c_serum.jpg,2454,4.2,Oily,1,0,1,1,1,Hyaluronic Acid,Recommended by GlowSense AI
305,Neutrogena,Ultra Sheer SPF50,Cream,ultra_sheer_spf50.jpg,316,4.1,Dry,1,0,1,0,1,Snail Mucin,Recommended by GlowSense AI
306,La Roche-Posay,Effaclar Cleanser,Treatment,effaclar_cleanser.jpg,2086,4.6,Dry,1,1,0,1,0,Ceramides,Recommended by GlowSense AI
307,La Roche-Posay,Toleriane Cleanser,Sunscreen,toleriane_cleanser.jpg,783,4.6,Combination,1,0,0,0,1,Hyaluronic Acid,Recommended by GlowSense AI
308,Cetaphil,Daily Facial Cleanser,Cream,daily_facial_cleanser.jpg,1788,4.5,All,0,1,1,0,0,Hyaluronic Acid,Recommended by GlowSense AI
309,Neutrogena,Oil Free Acne Wash,Treatment,oil_free_acne_wash.jpg,2911,4.2,Dry,1,1,0,1,0,Hyaluronic Acid,Recommended by GlowSense AI
310,Dot & Key,Cica Gel,Cleanser,cica_gel.jpg,2779,4.7,Combination,0,0,0,1,0,Hyaluronic Acid,Recommended by GlowSense AI
311,CeraVe,AM Moisturizer,Moisturizer,am_moisturizer.jpg,2681,4.8,Dry,0,0,0,0,0,Centella,Recommended by GlowSense AI
312,La Roche-Posay,Effaclar Duo,Sunscreen,effaclar_duo.jpg,1102,5.0,Oily,0,1,1,1,1,Centella,Recommended by GlowSense AI
313,La Roche-Posay,Anthelios SPF50,Sunscreen,anthelios_spf50.jpg,1617,4.3,Combination,0,0,1,1,1,Niacinamide,Recommended by GlowSense AI
314,Minimalist,Vitamin C Serum,Cleanser,vitamin_c_serum.jpg,1175,4.7,Combination,1,1,0,1,0,Ceramides,Recommended by GlowSense AI
315,COSRX,AHA Whitehead Power,Serum,aha_whitehead_power.jpg,1685,4.8,All,1,1,0,1,0,Hyaluronic Acid,Recommended by GlowSense AI
316,Neutrogena,Ultra Sheer SPF50,Cream,ultra_sheer_spf50.jpg,660,4.9,Sensitive,0,1,0,1,1,Snail Mucin,Recommended by GlowSense AI
317,Dot & Key,Vitamin C Serum,Treatment,vitamin_c_serum.jpg,563,4.1,Sensitive,1,1,0,1,1,Ceramides,Recommended by GlowSense AI
318,The Ordinary,Retinol,Moisturizer,retinol.jpg,2345,4.1,Sensitive,1,0,0,0,0,Niacinamide,Recommended by GlowSense AI
319,CeraVe,AM Moisturizer,Cream,am_moisturizer.jpg,1369,4.9,Dry,0,1,0,0,1,Centella,Recommended by GlowSense AI
320,Minimalist,Retinol,Cleanser,retinol.jpg,1137,4.2,Oily,0,1,0,1,0,Ceramides,Recommended by GlowSense AI
321,Cetaphil,Gentle Skin Cleanser,Serum,gentle_skin_cleanser.jpg,314,4.5,Combination,1,1,0,0,0,Centella,Recommended by GlowSense AI
322,The Ordinary,Vitamin C,Serum,vitamin_c.jpg,756,4.9,Dry,1,1,0,1,1,Centella,Recommended by GlowSense AI
323,La Roche-Posay,Toleriane Cleanser,Treatment,toleriane_cleanser.jpg,2583,4.1,Dry,0,1,1,0,0,Ceramides,Recommended by GlowSense AI
324,Neutrogena,Hydro Boost,Cream,hydro_boost.jpg,2886,4.7,Dry,0,1,0,0,0,Hyaluronic Acid,Recommended by GlowSense AI
325,COSRX,AHA Whitehead Power,Cream,aha_whitehead_power.jpg,2569,4.7,Oily,0,1,0,1,0,Hyaluronic Acid,Recommended by GlowSense AI
326,COSRX,Low pH Cleanser,Sunscreen,low_ph_cleanser.jpg,2717,4.0,Combination,0,0,0,1,0,Salicylic Acid,Recommended by GlowSense AI
327,Dot & Key,Vitamin C Serum,Moisturizer,vitamin_c_serum.jpg,1372,4.7,Combination,0,1,0,0,1,Salicylic Acid,Recommended by GlowSense AI
328,Neutrogena,Hydro Boost,Treatment,hydro_boost.jpg,1363,4.7,Sensitive,1,0,1,1,1,Ceramides,Recommended by GlowSense AI
329,The Ordinary,Retinol,Cleanser,retinol.jpg,2627,4.8,Oily,1,0,1,1,1,Salicylic Acid,Recommended by GlowSense AI
330,Neutrogena,Ultra Sheer SPF50,Serum,ultra_sheer_spf50.jpg,1733,4.9,Sensitive,0,0,1,1,1,Niacinamide,Recommended by GlowSense AI
331,Cetaphil,Moisturizing Lotion,Sunscreen,moisturizing_lotion.jpg,516,4.8,Sensitive,0,0,1,0,0,Centella,Recommended by GlowSense AI
332,La Roche-Posay,Toleriane Cleanser,Cleanser,toleriane_cleanser.jpg,2205,4.9,Sensitive,1,1,0,0,0,Snail Mucin,Recommended by GlowSense AI
333,La Roche-Posay,Toleriane Cleanser,Cream,toleriane_cleanser.jpg,1608,4.3,Oily,0,0,0,0,0,Vitamin C,Recommended by GlowSense AI
334,Dot & Key,Barrier Repair Cream,Sunscreen,barrier_repair_cream.jpg,1098,4.8,Dry,0,1,0,0,0,Salicylic Acid,Recommended by GlowSense AI
335,Minimalist,Tranexamic Acid,Serum,tranexamic_acid.jpg,953,4.3,Sensitive,1,1,0,0,0,Snail Mucin,Recommended by GlowSense AI
336,CeraVe,Hydrating Cleanser,Moisturizer,hydrating_cleanser.jpg,754,4.6,Dry,0,1,0,0,1,Vitamin C,Recommended by GlowSense AI
337,La Roche-Posay,Effaclar Cleanser,Sunscreen,effaclar_cleanser.jpg,822,4.7,Dry,1,0,1,1,1,Retinol,Recommended by GlowSense AI
338,Neutrogena,Hydro Boost,Cream,hydro_boost.jpg,897,4.0,All,0,1,1,1,1,Retinol,Recommended by GlowSense AI
339,Dot & Key,Vitamin C Serum,Treatment,vitamin_c_serum.jpg,1599,5.0,Dry,0,1,0,1,0,Vitamin C,Recommended by GlowSense AI
340,Neutrogena,Ultra Sheer SPF50,Serum,ultra_sheer_spf50.jpg,801,4.1,Dry,1,0,0,0,0,Retinol,Recommended by GlowSense AI
341,Neutrogena,Ultra Sheer SPF50,Moisturizer,ultra_sheer_spf50.jpg,399,4.3,Oily,1,0,1,0,1,Salicylic Acid,Recommended by GlowSense AI
342,Dot & Key,Watermelon Sunscreen,Treatment,watermelon_sunscreen.jpg,2486,5.0,Sensitive,1,0,0,1,0,Snail Mucin,Recommended by GlowSense AI
343,Dot & Key,Watermelon Sunscreen,Moisturizer,watermelon_sunscreen.jpg,1758,4.6,Oily,0,1,0,1,0,Ceramides,Recommended by GlowSense AI
344,Minimalist,Alpha Arbutin,Sunscreen,alpha_arbutin.jpg,327,4.2,Oily,0,0,0,1,0,Snail Mucin,Recommended by GlowSense AI
345,Cetaphil,Moisturizing Cream,Cream,moisturizing_cream.jpg,2543,4.1,Sensitive,1,0,1,1,1,Salicylic Acid,Recommended by GlowSense AI
346,Dot & Key,Watermelon Sunscreen,Cream,watermelon_sunscreen.jpg,2596,4.5,All,1,1,1,0,1,Retinol,Recommended by GlowSense AI
347,The Ordinary,Azelaic Acid,Serum,azelaic_acid.jpg,756,4.8,Combination,0,1,0,1,0,Niacinamide,Recommended by GlowSense AI
348,COSRX,Low pH Cleanser,Cream,low_ph_cleanser.jpg,459,4.0,Oily,1,1,0,0,1,Ceramides,Recommended by GlowSense AI
349,Cetaphil,Gentle Skin Cleanser,Serum,gentle_skin_cleanser.jpg,2731,4.3,Oily,1,0,0,0,0,Ceramides,Recommended by GlowSense AI
350,La Roche-Posay,Toleriane Cleanser,Serum,toleriane_cleanser.jpg,302,4.8,Oily,0,1,0,0,0,Vitamin C,Recommended by GlowSense AI
351,The Ordinary,Azelaic Acid,Cleanser,azelaic_acid.jpg,1550,4.2,All,1,1,0,1,0,Retinol,Recommended by GlowSense AI
352,La Roche-Posay,Effaclar Cleanser,Sunscreen,effaclar_cleanser.jpg,2230,4.3,Sensitive,1,1,1,0,1,Centella,Recommended by GlowSense AI
353,Neutrogena,Oil Free Acne Wash,Cleanser,oil_free_acne_wash.jpg,2562,4.9,Oily,1,0,1,1,0,Hyaluronic Acid,Recommended by GlowSense AI
354,CeraVe,Hydrating Cleanser,Moisturizer,hydrating_cleanser.jpg,1073,4.7,Combination,1,1,0,0,0,Niacinamide,Recommended by GlowSense AI
